Business Name,Phone,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Bella Vista New York,(584) 400-3642,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.9,341,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
Bella Vista New York,(438) 877-1665,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.2,214,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(751) 225-8971,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.7,148,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
Bella Vista New York,(339) 253-1736,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.0,799,$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
Sakura Sushi New York,(338) 818-3905,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.8,451,$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi,2025-09-09 16:23:02,restaurants,"New York, NY"
Bella Vista New York,(657) 263-9700,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.9,430,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(994) 265-4211,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.5,323,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(997) 264-5419,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.7,176,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
Bella Vista New York,(293) 571-5938,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.4,392,$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
Sakura Sushi New York,(233) 576-5236,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.1,512,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(674) 454-4653,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,5.0,593,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
Sakura Sushi New York,(459) 816-7294,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.5,768,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(845) 411-8958,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.3,762,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
Bella Vista New York,(733) 329-1031,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.6,518,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(831) 566-2709,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.6,167,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(439) 935-5927,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.8,369,$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(425) 541-4799,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.5,259,$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(340) 418-2716,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,5.0,267,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
The Local Burger - New York,(609) 662-6951,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.0,340,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:23:02,restaurants,"New York, NY"
Sakura Sushi New York,(740) 260-2607,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.6,306,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi,2025-09-09 16:23:02,restaurants,"New York, NY"
