business_name,phone,address,website,category,rating,review_count,yelp_url,price_range,neighborhood,hours,description,image_url,scraped_date,search_query,search_location
Sakura Sushi New York,(660) 963-2017,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.9,526,https://yelp.com/biz/sakura-sushi,$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(469) 506-6303,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.6,707,https://yelp.com/biz/local-burger,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(624) 552-6689,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.6,352,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(258) 768-1123,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.0,227,https://yelp.com/biz/sakura-sushi,$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(245) 641-6395,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.2,693,https://yelp.com/biz/sakura-sushi,$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(648) 778-5888,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.6,678,https://yelp.com/biz/local-burger,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(468) 413-7374,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.4,677,https://yelp.com/biz/sakura-sushi,$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(641) 257-7320,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.7,377,https://yelp.com/biz/local-burger,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(987) 431-6913,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,5.0,62,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(905) 744-7911,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,3.8,261,https://yelp.com/biz/local-burger,$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(463) 893-9242,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.4,564,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(768) 418-8426,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.5,60,https://yelp.com/biz/local-burger,$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(749) 215-7396,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.0,259,https://yelp.com/biz/local-burger,$$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(493) 399-8426,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.6,73,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(237) 849-4081,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.5,162,https://yelp.com/biz/sakura-sushi,$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(476) 285-3648,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.2,364,https://yelp.com/biz/sakura-sushi,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Sakura Sushi New York,(296) 606-1200,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.5,630,https://yelp.com/biz/sakura-sushi,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
The Local Burger - New York,(883) 436-9023,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.7,465,https://yelp.com/biz/local-burger,$$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(941) 436-5872,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.7,197,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
Bella Vista New York,(764) 657-8607,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.9,69,https://yelp.com/biz/bella-vista-restaurant,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,,2025-09-09 16:19:48,restaurants,"New York, NY"
